19:54:09 15-01-2017	 ERROR		 sample.LoginModel 	Line DB.java FILE DB.java [SQLITE_ERROR] SQL error or missing database (no such table: administrador).
19:54:10 15-01-2017	 ERROR		 sample.LoginModel 	Line DB.java FILE DB.java [SQLITE_ERROR] SQL error or missing database (no such table: administrador).
19:54:12 15-01-2017	 ERROR		 sample.LoginModel 	Line DB.java FILE DB.java [SQLITE_ERROR] SQL error or missing database (no such table: administrador).
19:55:16 15-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
19:55:17 15-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
19:59:56 15-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
19:59:56 15-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
23:39:13 15-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:39:14 15-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
23:39:22 15-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:43:46 15-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:43:47 15-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
23:44:11 15-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:01:21 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:01:22 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:01:38 16-01-2017	 ERROR		 sample.MainGuiController 	Error al processar venta.
00:03:53 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:03:54 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:04:01 16-01-2017	 ERROR		 sample.MainGuiController 	Error al processar venta.
00:04:46 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:04:47 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:04:55 16-01-2017	 ERROR		 sample.MainGuiController 	Error al processar venta.
00:05:05 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:05:06 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:05:13 16-01-2017	 ERROR		 sample.MainGuiController 	Error al processar venta.
00:05:40 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
